fecha,anio,mes,concepto_descripcion,concepto_codigo,nivel_jerarquia,valor_millones_pesos,fuente_archivo
2019-02-01,2019,2,Aportes y contribuciones a la seguriad social,Aportes_contrib_seg_social,2,88625.3,2020.02-aif-imig.xlsx
2019-02-01,2019,2,"Asignaciones Familiares Activos, Pasivos y otras",Asignaciones_familiares,2,8048.8,2020.02-aif-imig.xlsx
2019-02-01,2019,2,Asignación Universal para Protección Social,Asignación Universal para Protección Social,2,6898.5,2020.02-aif-imig.xlsx
2019-02-01,2019,2,Bienes personales,Bienes_personales,2,467.2,2020.02-aif-imig.xlsx
2019-02-01,2019,2,Débitos y créditos,Debitos_creditos,2,21078.5,2020.02-aif-imig.xlsx
2019-02-01,2019,2,Derechos de exportación,Derechos_exportacion,2,18037.5,2020.02-aif-imig.xlsx
2019-02-01,2019,2,Derechos de importación,Derechos_importacion,2,7762.5,2020.02-aif-imig.xlsx
2019-02-01,2019,2,Educación,Educación,2,2193.8,2020.02-aif-imig.xlsx
2019-02-01,2019,2,Educación,Educación,1,570.6000000000001,2020.02-aif-imig.xlsx
2019-02-01,2019,2,GASTOS PRIMARIOS,GASTOS_PRIMARIOS,0,249863.0,2020.02-aif-imig.xlsx
2019-02-01,2019,2,Ganancias,Ganancias,2,18327.2,2020.02-aif-imig.xlsx
2019-02-01,2019,2,Gastos de capital,Gastos_capital,1,15412.300000000003,2020.02-aif-imig.xlsx
2019-02-01,2019,2,Gastos corrientes primarios,Gastos_corrientes_primarios,1,234450.7,2020.02-aif-imig.xlsx
2019-02-01,2019,2,Gastos de funcionamiento y otros,Gastos_funcionamiento,1,46847.2,2020.02-aif-imig.xlsx
2019-02-01,2019,2,Otros gastos de funcionamiento,Gastos_funcionamiento,2,11175.199999999999,2020.02-aif-imig.xlsx
2019-02-01,2019,2,INGRESOS TOTALES,INGRESOS_TOTALES,0,256589.4,2020.02-aif-imig.xlsx
2019-02-01,2019,2,Prestaciones del INSSJP,INSSJP_PAMI,2,12303.5,2020.02-aif-imig.xlsx
2019-02-01,2019,2,IVA neto de reintegros,IVA_neto_reintegros,2,49920.9,2020.02-aif-imig.xlsx
2019-02-01,2019,2,Impuestos internos,Impuestos_internos,2,3717.8,2020.02-aif-imig.xlsx
2019-02-01,2019,2,Ingresos de capital,Ingresos_capital,1,624.8000000000001,2020.02-aif-imig.xlsx
2019-02-01,2019,2,Intereses Netos (2),Intereses_netos,1,11632.3,2020.02-aif-imig.xlsx
2019-02-01,2019,2,Nación,Nación,2,1903.3,2020.02-aif-imig.xlsx
